ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),ÀÏ°­¼ö·®(mm),Æò±Õ »ó´ë½Àµµ(%),ÇÕ°è ÀÏ»ç·®(MJ/m2)
105,°­¸ª,2021-01-01,-2,,38.5,11.1
105,°­¸ª,2021-01-02,-1.6,,32.6,11.3
105,°­¸ª,2021-01-03,-1.4,,26.8,9.97
105,°­¸ª,2021-01-04,1.1,,33.1,9.77
105,°­¸ª,2021-01-05,-1.1,,39.8,10.96
105,°­¸ª,2021-01-06,-4.2,,29,11.82
105,°­¸ª,2021-01-07,-10.1,,30,11.77
105,°­¸ª,2021-01-08,-10.9,,28,11.96
105,°­¸ª,2021-01-09,-8.4,,31.5,11.69
105,°­¸ª,2021-01-10,-4.3,,35.4,11.75
105,°­¸ª,2021-01-11,-2.8,,36.9,4.48
105,°­¸ª,2021-01-12,.3,,42.6,10.87
105,°­¸ª,2021-01-13,6.3,,47.9,8.97
105,°­¸ª,2021-01-14,4.5,,41,10.07
105,°­¸ª,2021-01-15,6.6,,56.9,8.38
105,°­¸ª,2021-01-16,1.6,,42.5,10.95
105,°­¸ª,2021-01-17,-2.4,,35.4,12.43
105,°­¸ª,2021-01-18,-1,,47.4,7.37
105,°­¸ª,2021-01-19,-3.9,,45.1,12.03
105,°­¸ª,2021-01-20,5.1,,27.8,11.1
105,°­¸ª,2021-01-21,9.7,,53.4,6.18
105,°­¸ª,2021-01-22,8,1.2,81.3,3.87
105,°­¸ª,2021-01-23,3.6,8.8,93.4,.97
105,°­¸ª,2021-01-24,5.3,1.2,85.8,6.84
105,°­¸ª,2021-01-25,6,,78.1,11.24
105,°­¸ª,2021-01-26,6.2,.1,74.8,3.59
105,°­¸ª,2021-01-27,4.7,,45,11.82
105,°­¸ª,2021-01-28,.6,.1,42.4,6.99
105,°­¸ª,2021-01-29,-4.9,,28.6,14.01
105,°­¸ª,2021-01-30,1.6,,47.1,8.89
105,°­¸ª,2021-01-31,5,,38.1,12.88
105,°­¸ª,2021-02-01,8.5,,51,10.54
105,°­¸ª,2021-02-02,-.8,,28.1,14.39
105,°­¸ª,2021-02-03,-.8,,36.1,13.9
105,°­¸ª,2021-02-04,1.7,,33,14.65
105,°­¸ª,2021-02-05,5.4,,40.6,11.23
105,°­¸ª,2021-02-06,9.3,,52,12.63
105,°­¸ª,2021-02-07,6,,75.1,7.71
105,°­¸ª,2021-02-08,.4,,38.3,14.89
105,°­¸ª,2021-02-09,2.9,,32.4,15.11
105,°­¸ª,2021-02-10,6.3,,46,14.65
105,°­¸ª,2021-02-11,8.8,,47,14.3
105,°­¸ª,2021-02-12,10.8,,36.6,14.63
105,°­¸ª,2021-02-13,8.4,,58.9,14.61
105,°­¸ª,2021-02-14,9.3,,68.8,7.46
105,°­¸ª,2021-02-15,5.3,,52.9,11.23
105,°­¸ª,2021-02-16,-1.9,,36.6,12.3
105,°­¸ª,2021-02-17,-5.8,,33,16.75
105,°­¸ª,2021-02-18,-3,,34.8,16.84
105,°­¸ª,2021-02-19,6.2,,35.8,17.77
105,°­¸ª,2021-02-20,13.6,,36.8,15.7
105,°­¸ª,2021-02-21,11.3,,54.1,14.61
105,°­¸ª,2021-02-22,6,,80.5,8.02
105,°­¸ª,2021-02-23,3.3,,55.5,17.15
105,°­¸ª,2021-02-24,2.6,,54,15.66
105,°­¸ª,2021-02-25,4.6,,66.4,5.97
105,°­¸ª,2021-02-26,6.5,,66.3,13.42
105,°­¸ª,2021-02-27,4.7,5.1,83.9,4.04
105,°­¸ª,2021-02-28,8.4,,54.8,16.57
105,°­¸ª,2021-03-01,4.3,79.7,88.4,1.11
105,°­¸ª,2021-03-02,.3,8.6,86.8,6.42
105,°­¸ª,2021-03-03,4.2,,65.3,18.57
105,°­¸ª,2021-03-04,8.4,,55.1,9.25
105,°­¸ª,2021-03-05,11.7,,50.8,19.37
105,°­¸ª,2021-03-06,2.4,4.8,85.5,1.31
105,°­¸ª,2021-03-07,4,.3,77.8,15.78
105,°­¸ª,2021-03-08,4.8,,82.9,10.78
105,°­¸ª,2021-03-09,10.2,,53.3,16.81
105,°­¸ª,2021-03-10,8.3,,56,19.79
105,°­¸ª,2021-03-11,13.5,,38.9,18.37
105,°­¸ª,2021-03-12,8.3,18.1,78.9,3.57
105,°­¸ª,2021-03-13,7.6,,71.9,15.96
105,°­¸ª,2021-03-14,10.5,,66.4,17.78
105,°­¸ª,2021-03-15,13.6,,50.9,13.8
105,°­¸ª,2021-03-16,12.1,,56.4,20.56
105,°­¸ª,2021-03-17,8.9,,58.9,19.86
105,°­¸ª,2021-03-18,8.8,,79.1,6.82
105,°­¸ª,2021-03-19,9.8,,75.4,9.13
105,°­¸ª,2021-03-20,9.1,.3,79.3,4.56
105,°­¸ª,2021-03-21,8.7,,55.6,15.37
105,°­¸ª,2021-03-22,8.5,,34,22.93
105,°­¸ª,2021-03-23,13.1,,27.6,21.1
