"","X","jj","date","tmp","rain","humidity","insolation","market","volume","trade_price","year","month","area","output10a","output","total_indices","indices","X5humidity","X10humidity","y"
"1",3,105,2019-01-03,1.2,0,19.8,11.3,1,19.06,9.91,2019,1,102,6014,6112,98.884,69.234,54,3,520.283390186303
"2",4,105,2019-01-04,3.8,0,24.8,9.13,1,5.1,2.99,2019,1,102,6014,6112,98.884,69.234,62,3,587.254901960784
"3",5,105,2019-01-05,1.9,0,37.3,10.31,1,2.85,1.91,2019,1,102,6014,6112,98.884,69.234,49,3,671.929824561404
"4",7,105,2019-01-07,2.6,0,22.1,10.14,1,17.2,8.89,2019,1,102,6014,6112,98.884,69.234,52,3,516.56976744186
"5",9,105,2019-01-09,0.1,0,20.4,9.71,1,3.6,2.57,2019,1,102,6014,6112,98.884,69.234,48,3,712.5
"6",10,105,2019-01-10,4.4,0,18.9,9.87,1,2.03,1.33,2019,1,102,6014,6112,98.884,69.234,56,3,654.320987654321
"7",12,105,2019-01-12,3.3,2,73.3,2.07,1,5.72,3.9,2019,1,102,6014,6112,98.884,69.234,64,3,681.539807524059
"8",14,105,2019-01-14,5.5,0,37.6,9.26,1,5.45,3.5,2019,1,102,6014,6112,98.884,69.234,74,3,642.201834862385
"9",15,105,2019-01-15,2.6,0,38.1,7.97,1,2.7,1.95,2019,1,102,6014,6112,98.884,69.234,63,3,722.222222222222
"10",16,105,2019-01-16,-1.6,0,28.1,9.6,1,12.18,6.5,2019,1,102,6014,6112,98.884,69.234,56,3,533.908045977012
"11",17,105,2019-01-17,2.7,0,32.5,12.06,1,1.23,0.62,2019,1,102,6014,6112,98.884,69.234,56,3,504.065040650407
"12",18,105,2019-01-18,4.4,0,24,11.44,1,3,1.95,2019,1,102,6014,6112,98.884,69.234,50,3,650
"13",19,105,2019-01-19,5.7,0,37.5,6.9,1,4.5,3,2019,1,102,6014,6112,98.884,69.234,69,3,666.666666666667
"14",29,105,2019-01-29,3.7,0,29,12.49,1,9.45,4.41,2019,1,102,6014,6112,98.884,69.234,44,3,466.666666666667
"15",31,105,2019-01-31,2.4,13,56.4,1.77,1,4.88,2.28,2019,1,102,6014,6112,98.884,69.234,53,4,466.666666666667
"16",32,105,2019-01-31,2.4,13,56.4,1.77,1,0.68,0.27,2019,1,102,6014,6112,98.884,69.234,53,4,400
"17",36,105,2019-02-04,4.3,0,24.1,14.26,1,3.85,1.85,2019,2,102,6014,6112,99.311,67.66,43,18,480.519480519481
"18",41,105,2019-02-09,-0.5,0,35.4,14.23,1,0.6,0.2,2019,2,102,6014,6112,99.311,67.66,42,4,333.333333333333
"19",44,105,2019-02-12,1.4,0,31.4,14.14,1,9.45,4.41,2019,2,102,6014,6112,99.311,67.66,47,4,466.666666666667
"20",51,105,2019-02-19,3.9,6,73.1,2.76,1,9.45,4.41,2019,2,102,6014,6112,99.311,67.66,92,7,466.666666666667
"21",55,105,2019-02-23,4.9,0.2,56,11.41,1,2.33,1.04,2019,2,102,6014,6112,99.311,67.66,65,12,448.024054982818
"22",57,105,2019-02-25,7.9,0,36.5,14.78,1,1.26,0.32,2019,2,102,6014,6112,99.311,67.66,59,14,250
"23",58,105,2019-02-26,6,0,47.8,17.52,1,4.5,3.38,2019,2,102,6014,6112,99.311,67.66,59,11,750
"24",60,105,2019-02-28,7.1,0,51.6,15.24,1,9.45,4.41,2019,2,102,6014,6112,99.311,67.66,55,13,466.666666666667
"25",72,105,2019-03-12,6.6,0.5,48,15.93,1,9.45,4.41,2019,3,102,6014,6112,99.121,67.66,67,9,466.666666666667
"26",81,105,2019-03-21,11.1,4.5,62.3,10.56,1,9.45,4.41,2019,3,102,6014,6112,99.121,67.66,83,16,466.666666666667
"27",87,105,2019-03-27,12.8,0.5,57.6,17.98,1,1.04,0.39,2019,3,102,6014,6112,99.121,67.66,68,12,377.777777777778
"28",90,105,2019-03-30,7.7,2,58.6,21.39,1,1.22,0.45,2019,3,102,6014,6112,99.121,67.66,89,11,366.666666666667
"29",114,105,2019-04-23,19.1,0,62.1,18.56,1,4.5,2.1,2019,4,102,6014,6112,99.481,80.032,60,5,466.666666666667
"30",130,105,2019-05-09,22.3,0,23.8,26.27,1,6.3,4.41,2019,5,102,6014,6112,99.652,87.22,45,3,700
"31",158,105,2019-06-06,18.6,10.5,86.8,9.39,1,0.66,0.35,2019,6,102,6014,6112,99.491,76.265,89,2,525.909090909091
"32",165,105,2019-06-13,22.9,0,60,30.27,1,16.1,5.2,2019,6,102,6014,6112,99.491,76.265,67,9,323.167701863354
"33",166,105,2019-06-14,21.7,4.5,63.3,13.62,1,48,16.24,2019,6,102,6014,6112,99.491,76.265,69,7,338.333333333333
"34",172,105,2019-06-20,26.8,0,52,28.89,1,0.3,0.11,2019,6,102,6014,6112,99.491,76.265,80,19,360
"35",173,105,2019-06-21,20.5,0,76.1,11.42,1,1,0.37,2019,6,102,6014,6112,99.491,76.265,89,15,365
"36",174,105,2019-06-22,19.9,0,66.4,31.01,1,0.1,0.04,2019,6,102,6014,6112,99.491,76.265,67,20,360
"37",177,105,2019-06-25,23.9,0,70.1,29.16,1,2.07,0.75,2019,6,102,6014,6112,99.491,76.265,66,11,363.002421307506
"38",178,105,2019-06-25,23.9,0,70.1,29.16,1,1.04,0.36,2019,6,102,6014,6112,99.491,76.265,66,11,350
