"","X","jj","date","tmp","rain","humidity","insolation","market","volume","trade_price","year","month","area","output10a","output","total_indices","indices","X5humidity","X10humidity","y"
"1",4,105,2019-01-04,3.8,0,24.8,9.13,1,20.2,23.36,2019,1,5913,3368,199157,98.884,127.17,62,3,1156.33663366337
"2",5,105,2019-01-05,1.9,0,37.3,10.31,1,28.6,41.7,2019,1,5913,3368,199157,98.884,127.17,49,3,1457.9020979021
"3",7,105,2019-01-07,2.6,0,22.1,10.14,1,26.6,39.33,2019,1,5913,3368,199157,98.884,127.17,52,3,1478.7030075188
"4",8,105,2019-01-08,0.9,0,21,11.35,1,24.04,34.93,2019,1,5913,3368,199157,98.884,127.17,46,3,1453.09900166389
"5",9,105,2019-01-09,0.1,0,20.4,9.71,1,35.22,48.04,2019,1,5913,3368,199157,98.884,127.17,48,3,1363.99772856332
"6",10,105,2019-01-10,4.4,0,18.9,9.87,1,17,23.49,2019,1,5913,3368,199157,98.884,127.17,56,3,1381.73529411765
"7",12,105,2019-01-12,3.3,2,73.3,2.07,1,10,15.41,2019,1,5913,3368,199157,98.884,127.17,64,3,1541.2
"8",14,105,2019-01-14,5.5,0,37.6,9.26,1,15.6,18.46,2019,1,5913,3368,199157,98.884,127.17,74,3,1183.46153846154
"9",15,105,2019-01-14,5.5,0,37.6,9.26,1,2.66,3.35,2019,1,5913,3368,199157,98.884,127.17,74,3,1258.27067669173
"10",16,105,2019-01-14,5.5,0,37.6,9.26,1,0.48,0.74,2019,1,5913,3368,199157,98.884,127.17,74,3,1531.25
"11",17,105,2019-01-15,2.6,0,38.1,7.97,1,22.56,33.57,2019,1,5913,3368,199157,98.884,127.17,63,3,1488.05407801418
"12",18,105,2019-01-15,2.6,0,38.1,7.97,1,10,9.65,2019,1,5913,3368,199157,98.884,127.17,63,3,965
"13",19,105,2019-01-15,2.6,0,38.1,7.97,1,3.46,3.69,2019,1,5913,3368,199157,98.884,127.17,63,3,1067.77456647399
"14",20,105,2019-01-15,2.6,0,38.1,7.97,1,0.44,0.57,2019,1,5913,3368,199157,98.884,127.17,63,3,1304.54545454545
"15",21,105,2019-01-16,-1.6,0,28.1,9.6,1,0.84,0.95,2019,1,5913,3368,199157,98.884,127.17,56,3,1130.95238095238
"16",22,105,2019-01-17,2.7,0,32.5,12.06,1,20,25.51,2019,1,5913,3368,199157,98.884,127.17,56,3,1275.55
"17",23,105,2019-01-18,4.4,0,24,11.44,1,40.88,39.52,2019,1,5913,3368,199157,98.884,127.17,50,3,966.719667318982
"18",24,105,2019-01-18,4.4,0,24,11.44,1,4.68,4.21,2019,1,5913,3368,199157,98.884,127.17,50,3,899.786324786325
"19",27,105,2019-01-21,2.1,0,35,12.17,1,5.62,5.71,2019,1,5913,3368,199157,98.884,127.17,65,3,1015.56939501779
"20",28,105,2019-01-22,4.7,0,34.4,12.39,1,2.4,2.95,2019,1,5913,3368,199157,98.884,127.17,72,3,1230.83333333333
"21",29,105,2019-01-22,4.7,0,34.4,12.39,1,1.08,0.73,2019,1,5913,3368,199157,98.884,127.17,72,3,674.074074074074
"22",30,105,2019-01-23,5.5,0,39.3,11.89,1,20.36,27.38,2019,1,5913,3368,199157,98.884,127.17,56,3,1344.72003929273
"23",31,105,2019-01-23,5.5,0,39.3,11.89,1,10,8,2019,1,5913,3368,199157,98.884,127.17,56,3,800
