시도별,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
시도별,엽채류:면적 (ha),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시금치:면적 (ha),생산량 (톤),노지시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),상추:면적 (ha),생산량 (톤),노지상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),엽채류:면적 (ha),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시금치:면적 (ha),생산량 (톤),노지시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),상추:면적 (ha),생산량 (톤),노지상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),엽채류:면적 (ha),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시금치:면적 (ha),생산량 (톤),노지시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),상추:면적 (ha),생산량 (톤),노지상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
계,41635,2354131,25837,1859705,24203,7388,1788227,9877,5073,501052,4897,5454,267093,4980,4698,233959,10968,9664,1059925,3358,6767,227250,1633,4376,71478,5189,70844,2667,1092,29136,2522,1653,41708,3629,95582,713,1773,12644,2916,2844,82938,6980,4702,328198,46481,2715655,30949,2242640,28941,7442,2153667,10863,4913,533728,5808,5371,311906,5056,4387,221822,13854,9670,1339742,4224,6634,280197,2008,4431,88973,4627,63005,2304,1085,24999,2323,1636,38006,3814,96774,859,1773,15233,2955,2760,81541,7091,4417,313236,46339,2555028,30085,2017507,27642,6889,1904201,11023,4810,530152,5471,5210,285034,5551,4415,245118,13345,8598,1147465,3274,6920,226584,2443,4638,113306,3749,54444,1475,1189,17534,2274,1623,36910,3830,97137,772,1894,14628,3058,2698,82509,8675,4449,385940
서울특별시,17,643,4,365,3,10295,359,0,3906,1,0,4704,1,0,0,0,3,10343,358,0,0,0,0,3963,6,7,205,0,2235,2,7,3000,203,7,69,1,2800,22,6,775,47,0,4612,4,17,513,3,252,3,8738,229,0,8065,1,0,4661,1,0,0,0,3,8741,228,0,0,0,1,3963,23,7,199,0,2235,10,6,3000,189,7,59,0,2800,12,6,775,47,0,4612,3,32,1403,11,1021,11,9150,999,5,4661,228,5,4663,228,0,0,0,6,12793,771,0,0,0,1,3935,22,6,159,4,2235,88,2,3000,71,14,215,5,2800,149,9,775,66,0,4612,8
부산광역시,266,10323,47,5209,45,11439,5133,5,5395,243,5,5385,243,0,0,0,40,12114,4890,0,0,0,2,4320,76,20,282,18,1388,256,2,1681,26,175,4098,37,1788,665,138,2484,3433,24,3556,838,269,12017,71,7510,71,10590,7504,23,5392,1237,23,5394,1237,0,0,0,48,13079,6267,0,0,0,0,4320,6,33,559,32,1663,532,1,1927,27,136,3105,57,1856,1052,79,2594,2053,29,2908,843,195,7765,42,4321,41,10531,4276,5,5325,259,5,5317,259,0,0,0,36,11239,4017,0,0,0,1,4320,45,32,540,31,1662,507,2,1927,33,77,1602,51,1855,942,26,2554,660,45,2908,1302
대구광역시,576,22720,255,12127,66,8978,5970,22,4453,996,22,4453,996,0,0,0,44,11271,4974,0,0,0,189,3258,6157,93,2079,14,1508,205,79,2371,1874,47,1132,22,2173,472,26,2561,660,181,4081,7382,532,22894,239,12758,94,8706,8151,27,5385,1478,27,5385,1478,0,0,0,66,10084,6673,0,0,0,146,3159,4607,65,1409,16,1488,240,49,2371,1169,33,787,13,2173,291,19,2561,496,195,4081,7940,411,16017,347,14304,95,6574,6238,27,4910,1343,27,4912,1343,0,0,0,68,7248,4895,0,0,0,252,3201,8066,30,669,5,1488,73,25,2371,596,19,454,10,2173,213,9,2561,241,14,4081,590
인천광역시,181,15355,124,14110,118,11690,13801,6,3206,200,6,3200,200,0,0,0,112,12163,13601,0,0,0,6,5250,309,14,205,11,1065,121,3,2686,84,41,961,22,1737,388,19,3079,573,2,4612,79,187,14360,127,13087,125,10402,12957,8,3156,237,8,3159,237,0,0,0,117,10867,12720,0,0,0,2,5250,130,33,646,14,1065,150,18,2686,496,25,528,18,1737,310,7,3079,218,2,4612,99,253,16241,161,14334,150,9143,13711,12,3149,378,12,3150,378,0,0,0,138,9664,13333,0,0,0,12,5400,623,45,668,33,1065,348,12,2685,320,38,824,26,1747,448,12,3078,376,9,4612,415
광주광역시,113,7146,83,5832,49,9258,4525,8,4096,335,8,4093,335,0,0,0,41,10295,4190,0,0,0,35,3784,1307,8,120,4,971,37,4,2060,83,4,88,3,2084,55,1,3132,33,18,6023,1106,127,9152,82,7285,64,10589,6738,5,4097,214,5,4098,214,0,0,0,58,11173,6523,0,3388,1,18,3041,547,6,69,4,971,38,2,1954,31,6,140,4,2090,87,2,2869,53,34,4933,1658,148,7794,106,6256,62,7997,4954,19,4092,792,19,4094,792,0,0,0,43,9772,4162,0,0,0,44,2946,1302,10,99,10,971,94,0,1954,5,6,131,5,2049,103,1,2869,28,25,5132,1308
대전광역시,86,4566,37,3529,36,9705,3522,0,1864,5,0,1796,5,0,0,0,36,9764,3517,0,0,0,0,2698,7,1,19,1,1324,12,0,1479,7,48,1017,12,952,118,36,2513,899,0,2738,1,98,5325,55,4469,51,8505,4375,8,1796,145,8,1796,145,0,0,0,43,9754,4230,0,0,0,3,2698,94,1,9,1,1463,9,0,0,0,42,837,14,952,136,28,2510,701,0,2832,10,84,5342,70,5028,68,7337,4975,9,1791,154,9,1796,154,0,0,0,59,8143,4821,0,0,0,2,2698,53,2,30,2,1429,24,0,1474,6,10,207,2,952,19,8,2405,188,3,2834,77
울산광역시,113,7167,79,6639,71,8857,6325,13,4997,650,13,5000,650,0,0,0,58,9717,5675,0,0,0,8,3906,314,10,116,7,1110,83,2,1474,33,22,378,14,1720,249,8,1617,129,1,2506,34,146,9171,108,8517,74,9741,7200,6,5000,281,6,5000,281,0,0,0,68,10131,6919,0,0,0,34,3906,1317,5,57,5,1110,56,0,1445,1,29,499,23,1719,391,7,1619,108,4,2544,98,135,7859,100,7268,95,7473,7080,10,5000,503,10,5000,503,0,0,0,85,7767,6577,0,0,0,5,3906,188,7,72,7,1112,72,0,0,0,25,422,19,1719,334,5,1617,88,4,2544,97
