"시도별",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"시도별",조미채소:면적 (ha),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),파:면적 (ha),생산량 (톤),노지파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설파:면적 (ha),10a당 생산량 (kg),생산량 (톤),대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),생강:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),조미채소:면적 (ha),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),파:면적 (ha),생산량 (톤),노지파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설파:면적 (ha),10a당 생산량 (kg),생산량 (톤),대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),생강:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),조미채소:면적 (ha),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),파:면적 (ha),생산량 (톤),노지파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설파:면적 (ha),10a당 생산량 (kg),생산량 (톤),대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),생강:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"계",104860,2725088,35900,254280,31644,248,78437,4256,4132,175843,17170,463721,14471,2697,390219,2699,2723,73502,12488,2850,355931,10520,2900,305061,1968,2585,50870,4682,2302,107790,3951,2155,85158,731,3096,22632,21777,7322,1594450,2324,1074,24966,27689,1400,387671,94116,2224502,35533,243424,31146,193,60076,4387,4179,183348,15632,417881,13399,2711,363241,2232,2448,54640,11255,2901,326471,9738,2929,285282,1517,2716,41189,4377,2089,91410,3661,2129,77959,715,1880,13451,14673,7962,1168227,2906,1085,31538,25372,1432,363432,99655,2675420,37761,261132,33373,278,92757,4388,3837,168375,18202,493162,15703,2730,428684,2500,2580,64478,13174,2939,387178,11400,2953,336657,1774,2848,50521,5028,2108,105984,4302,2139,92027,726,1923,13957,18461,8541,1576752,3231,1109,35842,21999,1402,308532
"서울특별시",44,866,8,20,8,230,19,0,2611,1,35,811,29,2008,583,6,3780,228,34,2306,789,29,2000,570,6,3846,219,1,2576,22,1,2500,13,0,2750,9,0,6540,29,0,832,0,1,1005,6,44,824,9,14,9,168,14,0,0,0,34,791,29,2007,577,6,3833,214,34,2300,777,28,2000,566,5,3846,211,1,2551,14,0,2500,11,0,2750,3,0,5942,12,0,832,0,1,1020,6,43,774,13,103,10,304,31,3,2594,72,24,543,22,2082,468,2,3860,75,21,2172,452,19,2000,377,2,3846,75,4,2514,91,4,2500,91,0,0,0,1,5921,85,0,835,2,4,1048,40
"부산광역시",673,16071,83,225,82,234,193,1,3976,32,547,14481,491,2695,13222,56,2247,1259,455,2802,12764,402,2872,11533,54,2283,1231,91,1884,1717,89,1897,1689,2,1341,28,16,6463,1049,0,1215,3,27,1182,314,542,12541,84,309,82,271,223,2,4099,86,413,10866,364,2681,9765,49,2259,1101,329,2820,9286,281,2914,8195,48,2273,1091,84,1888,1580,83,1892,1570,1,1341,10,13,7788,988,1,1215,6,31,1200,372,646,16747,63,319,59,302,179,3,4086,140,520,14384,470,2825,13272,50,2203,1112,476,2851,13578,430,2914,12516,47,2273,1062,44,1828,806,40,1873,756,4,1341,50,26,6173,1581,1,1215,12,36,1260,451
"대구광역시",1155,39639,108,230,108,214,230,0,0,0,232,4875,223,2046,4571,9,3490,304,225,2117,4773,217,2062,4480,8,3571,293,7,1546,102,6,1486,91,0,2151,11,311,8426,26244,0,0,0,504,1645,8290,1166,45705,99,212,98,201,196,1,1418,16,293,6860,282,2288,6446,12,3569,414,290,2347,6809,279,2297,6399,11,3571,410,3,1547,51,3,1489,47,0,2798,4,356,8950,31861,0,1112,2,418,1621,6769,1215,42081,149,311,146,185,270,3,1418,41,374,9224,320,2282,7310,54,3531,1914,364,2470,8991,314,2297,7223,50,3571,1768,11,2215,233,6,1489,87,5,3121,146,332,7968,26488,0,1120,4,359,1686,6053
"인천광역시",744,9901,386,828,385,203,783,1,3972,45,238,5099,179,1943,3481,59,2740,1618,182,2169,3949,128,1883,2406,54,2842,1543,56,2047,1150,51,2092,1075,5,1569,75,52,6477,3397,1,832,7,66,859,569,684,7489,366,884,362,203,737,4,3976,147,200,4171,164,1942,3189,36,2765,982,151,2095,3156,117,1883,2207,33,2842,949,49,2069,1015,47,2092,982,2,1540,33,24,6595,1563,4,832,32,91,925,840,773,8631,480,1493,473,261,1234,7,3976,259,206,4422,148,1942,2880,58,2661,1542,154,2179,3352,103,1873,1932,51,2802,1420,52,2042,1070,45,2100,948,7,1676,122,27,7460,2045,3,835,28,56,1144,643
"광주광역시",397,9285,303,6076,91,189,171,212,2782,5905,15,265,1,2272,31,14,1699,234,3,1220,40,1,2853,14,3,945,26,12,1897,225,1,1990,17,11,1894,208,33,6994,2321,2,1488,25,44,1352,597,369,8177,269,4257,110,201,221,159,2539,4036,27,835,8,2263,180,19,3436,655,16,3902,626,3,2853,82,13,4131,544,11,1904,209,5,1917,98,6,1894,111,34,7541,2591,4,860,38,35,1320,456,556,12958,452,8777,115,181,208,337,2539,8569,23,589,20,2638,526,3,1881,63,15,2851,438,15,2853,438,0,0,0,8,1906,151,5,1917,88,3,1894,63,42,7347,3120,4,860,31,34,1292,442
"대전광역시",119,986,64,245,59,249,147,5,1820,98,20,322,19,1635,318,0,2572,4,16,1634,262,16,1623,258,0,2560,4,4,1680,60,4,1672,60,0,0,0,4,5547,198,0,988,3,31,700,219,110,973,57,149,52,117,61,5,1820,88,29,477,29,1637,471,0,2973,6,26,1646,430,26,1635,424,0,3087,6,3,1655,47,3,1672,47,0,1897,0,2,6614,119,1,988,14,21,1032,215,175,2082,97,291,95,268,256,2,1820,35,29,491,23,1402,317,6,2756,174,19,1990,380,14,1638,229,5,2967,151,10,1130,111,9,1023,88,1,1895,23,13,7046,905,4,988,42,31,1131,353
"울산광역시",415,6118,199,480,191,168,321,8,2023,159,65,1261,59,1925,1134,6,2166,127,44,1747,763,38,1681,636,6,2171,127,21,2361,498,21,2363,498,0,0,0,52,5984,3122,3,1215,36,96,1269,1219,352,4522,190,615,184,259,475,7,2023,140,52,1000,50,1922,962,2,1950,38,33,1690,563,32,1669,532,1,2150,31,19,2339,437,18,2363,430,1,1341,7,28,6008,1657,1,1215,11,81,1528,1239,345,4913,176,685,166,286,475,10,2024,210,77,1494,76,1939,1477,1,2173,17,48,1678,811,48,1669,794,1,2150,17,29,2387,683,29,2388,683,0,1341,0,31,7015,2164,2,1215,21,59,927,549
